Marcaj de timp	În calitate de participant, am luat la cunoștință informarea privind prelucrarea datelor cu caracter personal care însoțește prezentul formular de consimțământ privind prelucrarea datelor personale.	Gen:	Vârstă (în ani împliniți):	Găsesc ceva bun de spus despre toți cei din jur.	Obișnuiesc să mă pregătesc în avans pentru ce urmează.	Mă simt bine când sunt înconjurat(ă) de oameni.	Mă simt melancolic(ă) des.	Consider că arta este importantă în viețile oamenilor.	Mă consider mai bun(ă) decat cei din jur.	Evit să îmi asum responsabilitatea pentru lucruri importante.	Îmi fac prieteni foarte ușor.	Găsesc multe lucruri care nu îmi plac la persoana mea.	Sunt interesat(ă) de partea filosofică a vieții.	Îmi place să îi tratez pe cei din jur cu bunătate.	Când am ceva de făcut mă apuc de treabă cât mai curând.	Mă descurc bine în contexte sociale.	Am gânduri negative foarte des.	Îmi place să merg la expoziții de artă, concerte sau alte evenimente artistice.	Îi accept pe cei din jur așa cum sunt și nu îi judec.	Punctualitatea este foarte importantă  pentru mine.	În contexte sociale eu sunt "sufletul petrecerii".	Trec foarte ușor de la o stare psihică la alta.	Am o imaginație foarte bogată.	De cele mai multe ori pun nevoile celor din jur înaintea nevoilor personale.	Întotdeauna mă țin de planurile pe care le fac.	Nu îmi place să atrag atenția asupra mea.	De multe ori mă simt anxios/anxioasă gândindu-mă la ce ar putea merge rău.	Îmi place să aud idei noi și opinii diferite de ale mele.	Uneori îmi place să mă cert cu cei din jur.	Întotdeauna îmi utilizez timpul la maximum.	Am foarte multe de spus.	Adesea mă îngrijorez că nu sunt suficient de bun(ă).	Nu mă interesează discuțiile abstracte.	Îi critic adeseori pe cei din jur.	Îmi este greu să încep să lucrez.	Prefer să nu fiu în centrul atenției.	Arareori mă simt melancolic(ă).	Nu sunt foarte interesat(ă) de arte.	Îmi abandonez activitățile imediat când cineva are nevoie de mine.	Îmi schimb adesea planurile.	Prefer să ascult decât să vorbesc.	Îmi place ce fel de persoană sunt.	Discuțiile filosofice mi se par plictisitoare.	Original(ă)	Perfecționist(ă)	Timid(ă)	Blând(ă)	Rigid(ă)	Curios/Curioasă	Uituc(ă)	Reținut(ă)	Agreabil(ă)	Agitat(ă)	Creativ(ă)	Disciplinat(ă)	Prietenos/Prietenoasă	Caritabil(ă)	Capricios/Capricioasă	Imaginativ(ă)	Organizat(ă)	Comunicativ(ă)	Modest(ă)	Pesimist(ă)	Enumerați între 1 și 5 cărți care v-au plăcut mult.	Enumerați una sau mai multe trăsături care vă atrag la o carte.
2022/05/09 11:47:30 a.m. GMT+3	Da	Feminin	20	4	4	2	4	5	1	2	2	5	4	4	2	2	5	5	5	2	2	5	5	2	2	5	5	5	3	2	4	5	1	2	4	5	2	2	2	5	5	3	1	4	4	5	2	4	4	5	5	5	5	4	4	3	3	5	5	2	2	5	5	seria Hunger Games 	Acțiunea este importantă pentru mine 
2022/05/09 11:51:20 a.m. GMT+3	Da	Feminin	24	5	5	3	2	5	1	3	3	5	5	5	2	4	5	5	4	5	4	2	5	3	1	3	5	5	4	2	5	5	1	2	3	4	5	1	2	5	2	5	1	5	5	3	5	3	5	5	3	4	3	5	2	5	5	3	5	3	5	4	2	Toti oamenii sunt muritori- Simone de Beauvoir Biblioteca de la miezul noptii- Matt Haig In cautarea sensului vietii- Viktor E. Frankl	Coperta
2022/05/09 12:03:25 p.m. GMT+3	Da	Feminin	20	5	5	5	5	5	2	3	3	2	5	5	4	3	4	3	4	5	2	5	5	4	4	5	5	5	1	4	3	5	2	2	3	3	2	2	3	2	4	3	2	3	4	5	5	2	4	3	4	4	2	4	4	4	4	3	5	4	4	5	5	Intre doua fronturi - de Oana David, Tatuatorul de la Auschwitz - de Heather Morris,  Fiica reichului - de Louise Fein, Scrisoarea pierduta de la Auschwitz - de Anna Ellory	fontul textului, aspectul copertei, tema principala,  modul de descriere actiunii si a personajelor
2022/05/09 12:05:05 p.m. GMT+3	Da	Masculin	22	1	2	1	2	3	5	4	3	5	4	3	2	3	2	2	3	4	3	5	5	1	3	2	1	5	5	2	3	5	1	5	5	3	2	4	4	3	4	1	2	5	3	3	3	4	5	2	3	4	1	5	5	5	1	5	5	3	2	2	3	In cautarea oii fantastice, Haruki Murakami	Nivelul de compatibilitate/ interesul starnit de rezumatul de pe spate
2022/05/09 12:19:40 p.m. GMT+3	Da	Masculin	23	3	4	3	3	5	1	2	3	3	5	5	5	5	2	5	4	5	3	1	4	3	3	3	3	5	1	4	3	4	1	2	2	3	3	1	3	3	3	3	1	3	4	3	4	2	4	2	2	3	3	4	4	4	4	2	4	3	3	3	2	Legiunea blestematilor, Crima si pedeapsa 	Titlul 
2022/05/09 12:20:11 p.m. GMT+3	Da	Feminin	21	4	4	3	3	4	3	2	3	4	4	4	3	4	3	3	4	4	3	3	3	3	3	3	4	4	3	3	4	4	3	3	3	3	3	2	3	3	3	4	3	3	3	3	3	3	4	2	2	4	3	4	3	4	4	4	4	3	4	3	2	Intelepciunea psihopatilor Camera minunilor Atomic Habits Secretele succesului 25 de moduri de a-i cuceri pe cei din jur	Calitatea Popularitatea 
2022/05/09 12:26:45 p.m. GMT+3	Da	Masculin	24	4	3	5	4	3	3	2	1	3	1	5	2	3	2	5	4	3	1	2	4	4	4	4	4	5	2	5	4	5	2	4	5	4	2	3	3	2	5	3	3	2	5	4	5	2	5	5	4	4	3	3	2	5	3	1	4	2	5	4	2	Harry Potter, Employer Branding, Mortal Engines, Focus	Utile (ofera cunostinte), poveste captivanta, determinarea de a te autoevalua
2022/05/09 12:38:46 p.m. GMT+3	Da	Masculin	25	3	4	3	3	4	2	3	4	4	3	4	1	2	3	2	4	4	1	2	2	3	2	5	4	3	1	1	3	4	3	2	5	5	3	2	3	3	4	4	2	2	4	4	4	3	4	3	2	4	3	2	2	4	2	2	2	2	4	5	4	Winnetou Narnia Basme/povstiri Singur pe Lume Vraciul - Tadeusz Dolega-Mostowicz	sa nu fie plictisitoare
2022/05/09 1:05:48 p.m. GMT+3	Da	Masculin	22	4	2	4	4	4	2	3	4	4	4	4	1	3	1	2	4	1	4	4	4	2	2	2	4	4	1	2	4	5	1	2	2	2	2	2	2	4	2	2	2	4	4	4	4	2	5	1	2	4	4	4	2	4	3	2	4	1	4	4	2	Brave New World; Head First Design Patterns;  Murder on the Orient Express; 	Actiune dinamica, informatii utile in cazul cartilor stiintifice
2022/05/09 1:10:09 p.m. GMT+3	Da	Masculin	25	5	5	4	1	5	1	1	4	2	1	5	4	4	1	5	5	5	2	1	4	4	4	5	5	5	1	4	1	5	4	1	1	5	1	1	5	1	5	4	1	5	4	5	5	2	5	4	5	5	2	4	5	4	5	1	4	5	4	5	2	1. 27 DE Pași-Tibi Ușeriu 2. DARK COCKPIT - Octavian Pantiș 3. INTELIGENȚĂ EMOȚIONALĂ- Daniel Goleman 4. CODUL LUI DA VINCI- Dan Brown 5. DE LA IDEE LA BANI- Napoleon Hill	Originalitate, continuitate. 
2022/05/09 1:41:56 p.m. GMT+3	Da	Masculin	52	4	5	5	4	4	3	2	5	2	3	5	5	4	1	4	4	4	3	1	4	2	4	2	2	4	2	4	4	1	2	2	1	2	3	2	2	2	3	4	2	4	4	2	4	3	5	1	3	3	1	5	4	5	3	3	5	4	4	2	4	Ion, Rascoa, Laleaua Neagră	Suspans
2022/05/09 1:44:41 p.m. GMT+3	Da	Feminin	30	5	4	3	4	5	2	3	5	3	5	5	2	4	2	4	4	5	3	5	5	4	4	5	4	5	1	2	5	5	1	3	3	5	3	1	4	3	4	3	1	4	5	4	4	3	4	5	3	4	5	4	3	5	4	3	5	3	4	3	2	Ma dor stramosii, calatorie in jurul omului, homo sapiens, lacrimi pentru cernobal, tragatori si mistificatori	Redactarea, mesajul, titlul, recenzii
2022/05/09 1:46:26 p.m. GMT+3	Da	Masculin	25	5	4	4	2	5	4	3	3	2	5	4	3	3	2	4	4	4	3	3	4	3	4	3	2	5	2	3	4	2	1	2	3	3	3	2	2	2	4	5	1	4	3	2	4	3	4	3	4	3	2	4	4	3	3	2	4	3	3	3	1	Gânduri către sine însuși (Marc Aureliu) Cel mai bogat om din Babilon (George S. Clason) Uluitorul Maurice si rozătoarele lui educate (Terry Pratchett) Procesul (F. Kafka) The secret of scent (Luca Turin) 	Mesaj adânc, preferabil otimist  Transmiterea unor informații importante Expunerea unei lumi diferite
2022/05/09 2:19:34 p.m. GMT+3	Da	Feminin	18	4	3	5	2	5	1	1	5	2	2	4	3	5	2	5	4	4	4	4	4	5	5	4	5	5	3	3	5	4	2	3	1	2	3	1	3	2	2	5	1	5	5	1	3	1	5	2	1	4	5	4	5	5	4	4	4	4	5	4	3	Mândrie și prejudecata, La răscruce de vanturi, Minunea, Marele Gatsby	Tema iubirii, acțiunea complicata, tipologii umane inedite
2022/05/09 3:18:17 p.m. GMT+3	Da	Feminin	22	5	5	4	2	3	2	1	3	4	4	4	3	2	2	2	3	5	1	1	1	3	4	4	5	5	1	4	3	5	4	2	3	4	5	3	3	3	5	3	2	4	5	4	2	5	5	3	3	4	2	3	4	4	4	4	1	4	2	3	2	Mândrie și prejudecata, Mananca, roaga-te, iubeste	Sa fie captivantă și plină de suspans
2022/05/09 4:10:18 p.m. GMT+3	Da	Masculin	36	2	3	2	4	5	1	3	1	3	1	3	2	3	3	2	4	4	1	2	4	2	2	5	3	5	1	1	1	4	2	4	5	5	4	2	3	4	5	3	4	2	4	2	3	2	4	1	3	3	1	3	4	3	1	4	4	4	2	5	3	The survival handbook	Cat de interesant e subiectul si modul de expunere a subiectului
2022/05/09 4:30:41 p.m. GMT+3	Da	Feminin	51	4	4	4	3	4	3	5	3	3	3	3	3	3	3	3	3	4	2	3	4	3	3	3	4	3	2	4	4	5	5	3	3	3	3	2	4	3	3	3	5	4	3	4	3	3	4	4	4	3	3	4	4	4	4	3	4	3	4	4	4	Maytrei, O zi, Suflete in furtuna	actiunea
2022/05/09 4:40:34 p.m. GMT+3	Da	Masculin	22	5	5	5	3	5	3	5	2	3	5	4	3	2	3	5	5	5	1	2	4	3	2	2	5	5	3	3	5	5	5	3	2	5	3	1	4	4	5	3	1	3	4	5	4	5	5	3	5	4	1	3	3	3	2	2	3	3	2	4	5	Monte Cassino - S Hassel, Femei - C Bukowski, Elevul Dima dintr-a saptea M Drumes, Am fost medic la Auschwitz - N Miklos	Prezentarea ideilor cat mai coerent si concis
2022/05/09 4:47:38 p.m. GMT+3	Da	Feminin	42	4	4	4	2	5	3	2	4	3	3	3	4	4	1	4	5	4	4	2	4	4	3	3	1	4	1	3	4	3	3	1	1	1	4	1	1	1	5	4	1	4	4	1	4	3	4	5	2	4	4	4	3	5	5	3	4	3	5	3	1	Ipoteza Fericirii	Armonia dintre stiinta moderna si vechea intelepciiune
2022/05/09 4:53:19 p.m. GMT+3	Da	Feminin	57	5	5	5	3	5	3	5	5	3	5	5	5	5	1	5	5	5	5	1	5	5	5	1	3	5	1	5	5	1	3	1	1	1	5	1	5	3	5	5	1	5	5	1	3	1	5	3	1	5	1	5	5	5	5	3	5	5	5	5	1	Pe aripile vântului,  mai trei, legendele olimpului	Acțiune, punct culminant
2022/05/09 9:12:46 p.m. GMT+3	Da	Feminin	25	5	5	3	4	5	1	2	2	4	5	5	3	2	4	4	4	4	1	1	5	5	3	5	4	5	1	3	2	5	1	2	1	5	2	1	4	2	5	4	1	4	4	5	5	3	3	4	5	5	1	4	5	5	2	2	5	5	2	5	3	"Nunta in Cer" - Mircea Eliade "Divergent" - Veronica Roth "Eleanor & Park" - Rainbow Rowell "Fiul risipitor" - Radu Tudoran "Sapiens" - Yuval Noah Harari	Originalitatea temei, perioada in care se desfasoara actiunea,  genul cartii, tipul de narare, coperta cartii
2022/05/09 9:33:31 p.m. GMT+3	Da	Masculin	25	5	5	3	5	5	2	4	3	5	5	5	4	5	5	5	5	4	2	3	5	5	4	5	5	5	1	2	3	5	1	4	4	5	1	1	3	3	5	2	1	5	4	5	5	3	3	1	5	5	2	5	3	5	3	2	5	4	2	5	5	Eleganța ariciului - Muriel Barbery, Cele 40 de legi ale iubirii - Elif Shafak,  Raport asupra singurătății - Augustin Buzura, Particulele elementare - Michel Houellebecq, Iubirea omenească - Andrei Makine.	Relația dintre personaje, caracterul estic, complexitatea emoțională etc.
2022/05/09 10:13:01 p.m. GMT+3	Da	Masculin	24	4	5	5	1	3	4	1	4	1	4	5	3	5	1	2	4	3	5	1	5	2	5	2	3	4	3	5	5	2	2	3	1	1	1	3	2	1	3	5	1	4	5	1	4	2	5	2	3	5	3	3	5	5	1	4	3	5	5	2	1	Sapiens, Blindatele Morții, Marțianul	Inspirationala/motivațională, educativă, SF
2022/05/09 10:18:04 p.m. GMT+3	Da	Feminin	20	2	5	3	4	5	3	3	2	4	5	5	4	4	4	5	3	4	3	4	5	3	4	3	5	5	2	3	5	5	1	3	4	2	2	1	2	2	2	4	1	5	5	3	4	2	5	4	3	5	4	5	4	4	4	3	5	3	4	3	3	Twilight oops Regina Rosie Are we all lemmings and snowflakes De psihologie, dezv personala, fictiune, romantice fantezie, sf in general	Sa aiba magieee si fantezieee si concepte noi despre lume- ce este sau ce ar putea fi.  Sa aiba mai multe elemente in ea (sf dar si romance dar si actiune etc).  Si daca e mai light e nice (beletristica), depinde de mood si stare mentala:)))) damaged
2022/05/09 10:26:26 p.m. GMT+3	Da	Feminin	22	3	5	3	4	5	4	3	3	4	5	5	3	3	4	5	3	5	2	3	5	5	3	5	4	4	1	3	4	4	1	3	3	5	2	1	3	4	5	3	1	4	5	4	4	3	3	4	5	5	3	4	5	2	3	3	5	2	3	3	3	O viață marunta - Hanya Yanagihara Magicianul - John Fowles Metamorfoza - Franz Kafka Pădurea Norvegiana - Haruki Murakami Eseu despre orbire - José Saramago  	Review urile, coperta
2022/05/10 11:49:24 a.m. GMT+3	Da	Feminin	22	4	3	4	2	5	3	1	4	3	3	4	3	4	1	5	4	5	3	3	4	5	4	2	1	3	2	4	4	2	3	3	3	3	2	2	5	2	3	4	2	5	5	2	3	2	4	4	2	3	3	4	4	4	4	2	3	3	4	3	2	codul lui da vinci Fluturi Ridica-te și ucide primul Furtuna războiului 	Misterul, povestea
2022/05/10 12:05:21 p.m. GMT+3	Da	Feminin	18	2	5	3	3	4	3	1	3	5	3	3	3	2	5	2	5	3	5	5	2	4	5	5	5	4	5	5	5	5	3	3	4	5	2	2	3	3	4	1	2	3	5	4	1	5	5	3	5	4	5	2	5	3	4	5	4	5	4	4	5	Xanax	Acțiunea, Comedia 
2022/05/10 12:07:36 p.m. GMT+3	Da	Feminin	21	5	3	3	3	4	2	2	3	2	3	4	3	4	3	4	4	5	3	4	5	5	4	3	4	4	2	3	4	2	2	2	3	3	3	2	3	3	2	4	2	3	3	2	5	2	5	3	3	5	5	3	3	4	4	3	4	3	5	4	3	Invitatie la Vals - Mihail Drumeș, Printre Tonuri Cenusii- Ruta Sepetys	Genul 
2022/05/10 12:34:30 p.m. GMT+3	Da	Feminin	44	5	5	5	3	4	3	1	4	1	5	5	5	5	1	4	5	5	5	3	5	3	5	3	2	5	1	5	4	3	3	2	3	3	3	2	1	2	3	5	1	5	5	1	3	1	5	3	1	5	5	5	5	5	3	3	5	5	5	3	1	Alchimistul-Paulo Coehlo,Preludiu-Ileana Vulpescu	Originalitate
2022/05/10 12:39:51 p.m. GMT+3	Da	Feminin	23	3	3	2	4	4	2	1	3	4	3	4	2	3	2	4	4	3	3	4	4	4	4	4	4	3	2	2	3	4	2	1	3	5	3	2	3	3	2	2	2	4	3	4	4	4	4	2	4	4	2	3	3	3	4	3	3	3	3	4	3	Evadarea de la Auschwitz, Patul lui Eleonor, Da-ți voie sa simți, Oscar și Tanti Roz	Complexitatea, categoria in care se afla, istoria carti
2022/05/10 12:40:29 p.m. GMT+3	Da	Feminin	22	5	3	5	4	3	2	4	4	4	2	5	3	4	2	3	5	5	3	4	5	4	4	3	5	5	2	4	3	4	4	2	3	3	3	3	4	3	3	4	2	5	5	4	4	5	5	3	3	4	4	3	4	5	3	5	4	3	4	3	3	Pe aripile vantului Scrisoare de dragoste Lorelei Scarlett Omul in cautarea sensului vietii	Descriptiva
2022/05/10 12:47:33 p.m. GMT+3	Da	Feminin	29	3	4	3	2	4	1	1	3	5	3	4	2	3	5	4	4	5	3	4	5	2	4	5	5	4	2	3	3	5	4	3	2	5	4	1	3	2	5	3	2	4	5	5	3	3	4	3	4	5	3	5	5	5	4	4	5	4	5	5	3	Memoriile unui motan călător (Hiro Arikawa) 	Povestea, coperta, firul narativ
2022/05/10 12:50:13 p.m. GMT+3	Da	Feminin	21	4	4	4	2	5	3	3	5	5	5	5	4	5	2	5	4	4	3	3	5	3	4	2	2	4	1	3	5	2	1	2	3	4	4	1	2	3	3	4	1	5	4	3	5	2	5	3	3	5	4	5	3	5	4	2	5	3	5	3	2	Atomic Habits, Specia Rebela, Oscar si tanti Roz	Subiectul, Modul in care este scrisa
2022/05/10 3:19:44 p.m. GMT+3	Da	Feminin	44	4	3	3	3	5	1	2	5	3	2	5	5	4	3	2	5	5	3	3	4	5	4	5	2	5	2	4	4	4	4	4	4	3	4	3	5	4	4	4	3	3	4	4	5	3	4	4	4	3	5	4	4	4	4	3	4	2	4	4	3	Cel mai ii it dintre pamanteni	Captivanta
2022/05/10 3:32:47 p.m. GMT+3	Da	Feminin	21	3	5	5	3	3	3	3	5	5	1	5	5	5	3	1	1	5	1	3	5	3	4	3	5	3	1	5	5	4	1	3	3	3	3	5	5	3	1	3	3	5	3	3	5	3	5	3	3	5	5	5	4	5	5	4	5	4	5	3	3	Dragă John,Povestea mea,Tata bogat ,tata sărac,Cadranul banilor ,După ce ne am întâlnit 	Scrisul mare ,limbajul cât mai contemporan 
2022/05/10 3:43:54 p.m. GMT+3	Da	Masculin	23	5	5	4	2	5	5	1	5	4	5	5	4	5	2	5	4	4	5	3	5	4	5	2	1	5	4	5	5	3	1	2	2	1	5	1	3	4	2	5	1	5	5	1	2	5	5	3	1	5	1	5	5	5	5	2	5	5	5	4	1	Lifespan, Homo Deus, Factfullness, Insula comorii, 2 ani de vacanta	Concizia în exprimare și gândire, precizia în detalii,  forța sau eficiența prin care reușește să transmită ideiile, gândirea multilaterală,  creativitatea în idei și mai ales exprimare și cel mai important,  ideile pe care reușește să le trezească în mintea cititorului.
2022/05/10 4:24:36 p.m. GMT+3	Da	Feminin	34	4	4	3	3	3	3	4	4	3	2	5	4	4	3	3	4	4	4	3	4	4	3	3	4	4	1	3	4	4	4	3	2	3	3	3	3	3	3	3	3	3	3	3	4	4	3	2	3	4	4	3	3	4	4	2	4	4	4	3	4	Mănâncă,roaga-te ,iubeste	Suspansul 
2022/05/10 6:48:38 p.m. GMT+3	Da	Feminin	61	4	5	5	3	5	3	1	5	3	3	5	4	4	2	4	4	5	4	3	3	4	4	2	4	3	1	3	4	4	5	2	4	2	3	2	5	4	3	3	4	5	4	2	4	3	4	3	3	3	3	3	5	5	4	2	3	4	5	5	3	Zbor frânt.   La cântatul cocosilor	Sinceritatea,romantizmul
2022/05/10 7:55:14 p.m. GMT+3	Da	Feminin	21	4	3	5	3	5	3	2	4	2	2	4	1	4	3	5	4	5	4	3	5	5	4	2	4	4	3	2	3	2	2	2	4	2	3	1	3	2	2	4	2	4	3	2	3	3	5	1	2	5	4	5	3	5	4	2	5	3	5	4	4	Invitație la vals, După ce ne-am întâlnit, Love story	Din păcate, nu prea citesc. 
2022/05/11 12:36:57 a.m. GMT+3	Da	Masculin	22	5	4	4	2	5	2	3	4	3	5	5	4	5	1	5	4	1	3	2	4	2	4	1	1	5	3	2	5	1	1	2	1	1	5	1	3	3	3	5	1	3	4	1	5	4	5	4	4	5	5	4	2	5	5	5	5	2	5	3	2	Herman Hesse - Lupul de stepa si Jocul cu margele de sticla	Limbaj accesibil si introspectivă
2022/05/11 11:37:50 a.m. GMT+3	Da	Feminin	64	5	5	5	2	5	2	2	5	4	4	5	5	4	1	5	5	5	5	4	4	5	4	3	4	5	1	5	5	4	3	1	1	5	2	2	5	2	3	4	3	4	4	4	4	1	5	2	1	5	4	4	4	5	5	2	4	4	5	5	1	Primăvara in Toscana Aleea cu licurici Din cer au căzut trei mere Mănâncă,roagă-te ,iubeste Memoriile unei ghișe	Istorie .povesti de viața 
2022/05/12 4:56:07 p.m. GMT+3	Da	Masculin	31	4	2	5	2	5	2	2	5	2	3	5	2	4	1	4	3	4	4	2	5	5	3	3	4	5	5	2	3	2	3	2	4	3	2	1	4	2	2	4	3	3	3	2	5	2	4	5	3	4	2	3	2	5	5	3	5	2	5	2	1	Tragatori si mistificatori - Andrei Ursu The Swerve - Stephen Blatt	Suspansul
2022/05/13 12:39:20 a.m. GMT+3	Da	Feminin	25	3	4	3	4	5	2	3	2	3	4	4	2	3	3	4	3	3	1	2	4	4	3	4	4	4	1	3	2	5	2	3	5	4	2	1	3	4	5	3	2	3	4	3	3	3	4	5	4	4	4	4	2	3	2	2	3	3	3	3	4	East of Eden - John Steinbeck The portrait of Dorian Gray - Oscar Wilde  Sandman -neil gaiman (mai am câteva din serie, sunt benzi desenate) The expanse (Serie de cărți Sf, le-am terminat anul acesta)  The house in the cerulean sea White night - Dostoevsky	- personaje bine conturate și diferite - elemente fantasy  - acțiune mai puțin predictibilă  - personaje care se schimba 
2022/05/13 10:28:01 a.m. GMT+3	Da	Masculin	24	4	5	3	2	4	3	1	3	3	2	4	4	3	1	3	4	5	2	2	3	3	4	3	2	5	4	3	3	3	1	2	3	3	4	2	3	3	4	4	3	4	4	2	4	3	5	2	3	4	2	3	4	4	3	2	3	4	4	3	2	Enigma Otiliei, 80 Zile in Jurul Pamantului, Divergent, Insurgent, Pavlov (Cartea inginerului chimist) 	Genul (preferabil SciFi/ Aventura), Ideea de utopie, Practicalitate si relevanta 
2022/05/20 9:44:26 p.m. GMT+3	Da	Feminin	23	5	4	5	3	4	1	3	4	5	5	5	3	3	4	5	5	5	3	5	5	5	5	3	5	5	3	3	5	5	1	2	3	3	4	1	4	5	5	3	1	3	1	5	5	3	5	3	3	5	5	5	3	5	4	5	5	1	2	3	3	Intoxicata by Ruxandra Erdei	Sa simt ca rezones cu ceea ce e scris
2022/05/07 5:24:17 PM GMT+3	Da	Feminin	22	5	2	3	4	5	3	4	4	4	4	5	2	3	4	5	5	4	3	4	4	4	3	4	4	5	1	2	3	4	1	2	5	3	2	1	4	4	3	3	1	4	4	4	5	4	4	4	4	5	4	4	2	4	4	3	4	2	4	4	4	Bridge of Clay - Markus Zusak, Circe - Madeline Miller, Istoria Albinelor - Maja Lunde, Norwegian Wood - Haruki Murakami, Coin Locker Babies - Ryu Murakami	surrealism, fantasy, sad slice-of-life, dialog, conversation-like story-telling
2022/05/07 5:49:31 PM GMT+3	Da	Masculin	22	4	5	3	4	5	3	4	3	4	5	4	3	3	3	4	3	5	3	4	5	5	4	4	5	5	4	2	4	4	4	4	4	5	2	2	2	5	3	4	2	3	5	4	3	4	5	2	4	4	3	5	3	4	5	4	5	4	3	3	4	Istoria Albinelor, 1984, Stapanul Inelelor: Fratia Inelelor	nu stiu :(